feeds,label,format,name
http://fetchrss.com/rss/6414305008f26050a00149636461fae3cde5fa21ee4f33a2.xml,media,website,Insider
http://fetchrss.com/rss/6414305008f26050a00149636461fe60b17edd4d2535eaa3.xml,startups,website,Financial Times
http://fetchrss.com/rss/6414305008f26050a00149636461fec211a4b544f80f9623.xml,startups,website,TechCrunch
https://search.cnbc.com/rs/search/combinedcms/view.xml?partnerId=wrss01&id=19854910,startups,website,CNBC
http://fetchrss.com/rss/6414305008f26050a0014963644c0e9a0ce5b50edf7e3902.xml,startups,website,Crunchbase News
http://fetchrss.com/rss/6414305008f26050a0014963644c0fe470597c6ad1125c12.xml,startups,website,TechCrunch
http://fetchrss.com/rss/6414305008f26050a0014963644c1742120c066f586df212.xml,startups,website,Tech Startups
http://fetchrss.com/rss/6414305008f26050a0014963644c185717b6cb6a571a05b2.xml,startups,website,Financial Times
https://feeds.feedburner.com/eu-startups,startups,website,EU-Startups
https://search.cnbc.com/rs/search/combinedcms/view.xml?partnerId=wrss01&id=10001147,startups,website,Business News
https://fortune.com/feed/fortune-feeds/?id=3230629,startups,website,Fortune
http://fetchrss.com/rss/6414305008f26050a0014963642b18e29950de2654737922.xml,ainews,newsletter,Big Brain
http://fetchrss.com/rss/6414305008f26050a0014963642b19304fb44a0a3b4ec932.xml,ainews,newsletter,Superhuman
http://fetchrss.com/rss/6414305008f26050a0014963642b195afd8ddb437910e642.xml,ainews,newsletter,The Neuron
http://fetchrss.com/rss/6414305008f26050a0014963642b19d0f0d03927bc362613.xml,ainews,newsletter,Prompt Engineering Daily
http://fetchrss.com/rss/6414305008f26050a0014963642b1a0df1d0da01c6453992.xml,ainews,newsletter,WhatAi Newsletter
http://fetchrss.com/rss/6414305008f26050a0014963643020a1c435144d110fdd62.xml,ainews,newsletter,Hugging Face
https://thesequence.substack.com/feed,ainews,newsletter,TheSequence
http://fetchrss.com/rss/6414305008f26050a0014963643019feb104775b65562fc3.xml,media,newsletter,The Rebooting
http://fetchrss.com/rss/6414305008f26050a00149636430194688951037a7163582.xml,media,newsletter,Simon Owens
https://stratechery.com/feed,media,newsletter,Stratechery
http://fetchrss.com/rss/6414305008f26050a001496364c8cde8273c4d67ea359632.xml,media,newsletter,Unmade
https://dicktofel.substack.com/feed,media,newsletter,Second Rough Draft
http://fetchrss.com/rss/6414305008f26050a001496364301a5d60bbe057a6464812.xml,media,newsletter,Wonder Tools
https://thefineprintnyc.com/feed,media,newsletter,The Fine Print
https://dankennedy.net/feed,media,newsletter,Media Nation
https://mondaynote.com/feed,media,newsletter,Monday Note
http://feeds.mediapost.com/mediapost-mad-blog,media,newsletter,MediaPost | Mad Blog
http://fetchrss.com/rss/6414305008f26050a001496364c8d0ea0287bc482d17fa12.xml,media,newsletter,JournalistsToolbox.ai
https://onemanandhisblog.com/rss/,media,newsletter,One Man & His Blog
https://mrmagazine.me/feed/,media,newsletter,Mr. Magazine
http://fetchrss.com/rss/6414305008f26050a001496364c8ca2702e0a03507700b15.xml,media,newsletter,Newsletter Circle on Substack
http://fetchrss.com/rss/6414305008f26050a001496364c8caebae0e9f392b322c63.xml,media,newsletter,Newsletter Circle on Beehiive
https://femstreet.substack.com/feed,startups,newsletter,Femstreet
https://hunterwalk.com/feed,startups,newsletter,Hunter Walk
https://www.lennysnewsletter.com/feed,startups,newsletter,Lenny's Newsletter
https://www.vantechjournal.com/feed,startups,newsletter,Vancouver Tech Journal
https://velocitygrowth.com/blog/rss,startups,newsletter,Comments on: Velocity Growth Blog
https://heated.world/feed,climate,newsletter,HEATED
http://fetchrss.com/rss/6414305008f26050a00149636437c55e17bb64659b22c804.xml,climate,newsletter,Cipher
https://www.weeklyclimate.com/feed,climate,newsletter,The Weekly Climate
https://theslowmovingapocalypse.substack.com/feed,climate,newsletter,The Slow Moving Apocalypse
http://www.carboncommentary.com/blog/?format=rss,climate,newsletter,Carbon Commentary
http://fetchrss.com/rss/6414305008f26050a00149636437f50c5338c855344d87d2.xml,climate,newsletter,Climate Tech VC
https://techemergence.libsyn.com/rss,ainews,podcast,The AI in Business Podcast
https://www.aidatatoday.com/feed/podcast/,ainews,podcast,AI Today Podcast
http://feeds.libsyn.com/123267/rss,ainews,podcast,Eye On A.I.
https://practicalai.fm/rss,ainews,podcast,Practical AI
https://feeds.megaphone.fm/MLN2155636147,ainews,podcast,The TWIML AI Podcast
https://feeds.transistor.fm/podcast-ai,ainews,podcast,podcast.ai
https://dataskeptic.com/feed.rss,ainews,podcast,Data Skeptic
https://braininspired.co/feed/podcast,ainews,podcast,Brain Inspired
https://feeds.simplecast.com/NWaROOTL,ainews,podcast,Newsroom Robots
https://outrageandoptimism.libsyn.com/rss,climate,podcast,Outrage + Optimism
http://feeds.libsyn.com/191481/rss,climate,podcast,The Climate Pod
https://feeds.megaphone.fm/ASPEL4243160556,esports,podcast,MorganMan Sports
https://feeds.simplecast.com/mVuvbeQv,esports,podcast,We Say Things
https://anchor.fm/s/a3fd589c/podcast/rss,esports,podcast,The Best Damn League Show.
https://anchor.fm/s/953a0dc8/podcast/rss,esports,podcast,Summoning Insight
https://feeds.buzzsprout.com/1628020.rss,esports,podcast,The Traxion Podcast
https://anchor.fm/s/261a7d9c/podcast/rss,esports,podcast,The Dive
https://feeds.simplecast.com/XqkIYdSB,esports,podcast,Side Pull
https://anchor.fm/s/8bb1860/podcast/rss,esports,podcast,HLTV Confirmed - CS:GO Podcast
https://audioboom.com/channels/4970769.rss,esports,podcast,The Retro Hour (Retro Gaming Podcast)
https://feeds.transistor.fm/the-good-news-podcast,good,podcast,The Good News Podcast
http://fetchrss.com/rss/6414305008f26050a0014963645cc4bcdacf1970c5166dc2.xml,good,podcast,Good Life Project
https://feeds.simplecast.com/_WI4mhWl,good,podcast,Secretly Incredibly Fascinating
https://podcast.squirrel-news.net/english.rss,good,podcast,The Squirrel News Podcast
https://the-daily-good.com/category/the-daily-good/feed/,good,podcast,The Daily Good
http://fetchrss.com/rss/6414305008f26050a0014963645cc2053e5ddb5ea807fcb3.xml,media,podcast,The Digiday Podcast
http://fetchrss.com/rss/6414305008f26050a0014963645cc361004a6378095be282.xml,media,podcast,Recode Media
https://themediapodcast.com/feed,media,podcast,The Media Podcast with Matt Deegan
http://feeds.wnyc.org/onthemedia,media,podcast,On the Media
https://pod.link/pva.rss,media,podcast,People vs Algorithms
https://feeds.acast.com/public/shows/repod,media,podcast,RePod
https://pod.link/1133571338.rss,media,podcast,The magCulture Podcast
http://fetchrss.com/rss/6414305008f26050a0014963645cc1779b5bbe201b04d9a2.xml,media,podcast,Journalism.co.uk
http://fetchrss.com/rss/6414305008f26050a001496364c8c7a811496f766f356962.xml,media,podcast,Newsroom Robots
https://feeds.simplecast.com/y_IjPwmW,startups,podcast,Startup Savant
https://anchor.fm/s/7c624c84/podcast/rss,startups,podcast,This Week in Startups
http://fetchrss.com/rss/6414305008f26050a0014963645d15766c284b0cd4694442.xml,startups,podcast,The Tim Ferriss Show
https://feeds.simplecast.com/STAA0SWN,startups,podcast,The TechCrunch Podcast
https://www.omnycontent.com/d/playlist/0273d602-3c07-4150-aee2-aaf701754024/ea3fb4c8-44e9-4ff1-a5bf-ab1300488402/0cf56d13-564f-49cb-8de4-ab130048841e/podcast.rss,startups,podcast,Startup Hustle
https://feeds.simplecast.com/JGE3yC0V,startups,podcast,a16z Podcast
https://feeds.megaphone.fm/thepitch,startups,podcast,The Pitch
https://allinchamathjason.libsyn.com/rss,startups,podcast,All-In
http://feeds.libsyn.com/61840/rss,startups,podcast,The Twenty Minute VC (20VC)
https://api.substack.com/feed/podcast/10845.rss,startups,podcast,Lenny's Podcast
https://feeds.transistor.fm/rework,startups,podcast,Rework
https://feeds.transistor.fm/slow-steady,startups,podcast,Slow & Steady
http://fetchrss.com/rss/6414305008f26050a0014963645cc43d70eb0d444d7d5132.xml,startups,podcast,HBR IdeaCast
http://fetchrss.com/rss/6414305008f26050a0014963645cc56487b5891b09466b62.xml,startups,podcast,The Sifted Podcast
http://fetchrss.com/rss/6414305008f26050a0014963645cc512980c4233ca68d8e2.xml,startups,podcast,This Week in Startups
http://fetchrss.com/rss/6414305008f26050a0014963645cc7f8200fcc1bd5601592.xml,startups,podcast,The Twenty Minute VC (20VC)
http://fetchrss.com/rss/6414305008f26050a0014963645cd62fa7fa9f18323d2c52.xml,ainews,website,Gizmodo
http://fetchrss.com/rss/6414305008f26050a0014963645cf7643bcf8038ec0bcfb2.xml,startups,newsletter,Pando Blog
https://tech.co/news/rss,startups,website,Tech.Co
https://www.entrepreneur.com/latest.rss,startups,website,Entrepreneur
https://mashable.com/feeds/rss/all,startups,website,Mashable
https://adage.com/section/rss,marketing,website,Ad Age
https://www.marketingdive.com/feeds/news/,marketing,website,Marketing Dive
